translated_sentences,natural_sentences,labels
추가 부가가치세 나 의무를 지불하지 않았습니다. 프로세서는 원활하게 작동합니다.,,1
"모든 것이 괜찮습니다. 프로세서 잘 포장, 그것은 아마 원래 제대로 작동합니다. 나는 추천",,1
정확히 설명 된대로였습니다. 배송은 평소보다 빨랐습니다. 벤치 마크는 훌륭했습니다!!!,,1
정품 제품. 이 CPU를 변경할 때 문제가 없습니다.,,1
중국에서 SEA까지 2 주 이내에 주문을 받았습니다. CPU를 테스트했습니다.,,1
Ryzen 5 5700X3D 는 완벽한 상태로 도착하여 완벽하게 설치되고 작동합니다.,,1
원본. 필요한만큼 작동합니다. 나는 642zl 을 지불했다. 나는 추천,,1
완벽한. 좋은 가격. 구매에 매우 만족합니다!!!,,1
아주 좋은 프로세서. 현재 AM4 에서 최고입니다. 빠른 배송. 폴란드에 14 일.,,1
미래에이 판매자로부터 다시 구입하십시오.,,1
"작동합니다!!! 믿을 수 없었습니다! Pbo2 튜너-25 낮은 온도, 포트 효율 및 더 많은 FPS!! 삶을위한 AM4!!",,1
"설명 된대로 신속하고 정확하게 수신, 훌륭한 판매자!",,1
추정 된 기간 내에 받아 들여지고 완벽한 상태의 아이템과 설명에 맞게 조정됩니다. 추천 100%,,1
우수한 제품!!! 현대적인 디자인으로 매우 가볍습니다. 두려움 없이 구매하는 것은 가치가 있다.,,1
판매자를 추천합니다.곧 창고에서 나왔어요.이 컴퓨터는 메모리와 디스크를 추가해서 아주 좋다.모든 것이 예상대로 진행되다.나는 여전히 이 제조업체로부터 제품을 주문할 것이다. 품질이 매우 좋다.,,1
"성능 측면에서 이 기계는 웹 탐색, 콘텐츠 스트리밍, 생산성 소프트웨어 실행 등 일상적인 작업을 쉽게 처리할 수 있습니다. 그러나 신뢰할 수 있는 작업자로서 의도된 사용 사례에서는 확실히 탁월합니다.",,1
보시다시피 공간을 최대한 줄여 남성 손바닥만큼 넓지만 성능은 괜찮습니다.나는 게임을 테스트하고 여러 개의 작업 인터페이스를 열었는데 아무런 문제가 없었다.나는 주로 그것으로 사무를 본다. ,,1
이 설비의 위력은 가격에서 인상적이다.나는 4K TV에서 그것을 실행하고 영화와 오래된 게임을 동시에 재생합니다.저렴한 PC를 저렴한 리소스 작업에 사용하려는 모든 사람에게 권장됩니다.,,1
"\주요 미니 PC의 백업 옵션으로 이것을 샀는데, 그 속도에 놀라웠고, 기본적인 사무 업무에서 매우 유능했으며, 유튜브 동영상을 쉽게 재생할 수 있었다.팬은 조용하게 작동합니다.\",,1
소음 조절이 아주 좋다.사무실 업무에 사용되며 게임을 하지 않을 때 팬이 거의 회전하지 않습니다.여기는 조용해서 아무 소리도 안 나요.게임을 할 때 외부 소리가 소음을 압도하기 때문에 거의 들리지 않는다.내가 예전에 사용했던 모든 노트북보다 낫다.,,1
이것은 아름답고 (또 작은) 게임용 컴퓨터입니다.나는 10대 조카에게 첫 번째 컴퓨터로 그것을 사주었다.물론 이것은 가장 높은 설정에서 모든 최신 게임을 할 수 있는 풀 기능 게임용 컴퓨터가 아니다.,,1
"물건 인도가 아주 인기가 있어, 아주 느리지 않아...한글 지원이 정확해지고...한국어는 키보드에 따로 표시되지 않지만 그대로 사용됩니다...Windows에는 Windows11이 설치되어 있습니다.",,1
나는 이 미니컴퓨터가 이중 육지 부분이 있는 것을 좋아한다.또한 인상적인 16GB 메모리를 제공합니다.Windows 11 Professional과 함께 제공됩니다.프로세서 속도가 빠르고 전반적으로 좋지 않은 것은 없습니다. ,,1
이 미니 호스트는 강력하고 컴팩트하며 휴대하기 편리합니다.일상적인 업무 및 엔터테인먼트 요구 사항을 충족할 수 있는 빠른 속도와 빠른 반응성비가 높아 살 만하다.,,1
나는 이 컴퓨터의 응답 시간이 얼마나 빠른지 정말 놀랐다.워크스테이션으로 사용하기에 적합하며 1440p 모니터를 쉽게 조작할 수 있습니다.그것은 절대로 한 푼의 가치도 있다.,,1
"설정은 아주 간단해서 아주 짧은 시간밖에 걸리지 않았다.내가 그것을 열어 깜짝 메시지를 보았을 때, 그것은 매우 귀엽다!전원 공급 장치에 연결하고 키보드 / 마우스, 스피커 및 모니터를 연결한 다음 지침을 따르기만 하면 됩니다.WiFi 연결이 원활하고 속도가 정말 빨라요!지금까지 나는 나의 구매에 매우 만족했다.",,1
외관 소재는 외관이 우아하고 촉감도 좋아 뒤처지지 않고 평소 심심할 때 컴퓨터를 켜고 영화를 보거나 게임을 할 수 있도록 지원한다.배치가 상당히 좋고 반응이 예민하며 사용이 아주 편리하고 메모리가 크며 운행속도가 빠르고 사용감이 아주 강대하고 반응이 예민하며 많은 게임효과가 뒤떨어지지 않는다!,,1
"곧 도착할 겁니다.정말 감사합니다.최대 가방을 분실하지 않은 아주 좋은 기능!! !나는 당신의 모든 친구와 구매자에게 몇 위안을 후회하지 말고 가능한 한 많은 주문을 할 것을 건의합니다, 그러나 모든 것이 훌륭할 때, 그것은 어떻게 작동합니까!! !",,1
괜찮아요. 플러그 앤 이동. 매일 사용하기에 충분히 강력합니다. 매우 작아서 TV 뒤에 놓기 쉽습니다.,,1
"\아들의 온라인 수업을 위해 이 기계를 샀는데, 잘 작동하고 있다.비슷한 가격의 다른 가정용 기계처럼 Windows 11 Pro가 있는 것을 좋아한다.Windows가 사전 설치되어 있으므로 시간이 걸리지 않습니다. \",,1
집행 속도가 매우 빠르다. 나는 스스로 게임을 하지 않는다. 주로 사무실과 연극을 추구하기 위해서이다. 나는 이런 집행 속도가 정말 비길 데 없다고 생각한다.,,1
"좋은 쇼핑 경험, 물류는 매우 빠르다, 얼굴 값도 좋은, 수업을 위해 구입, 보통 숙제를하고, 전송 속도도 매우 빠르다, 그것은 며칠이 걸렸고, 방열 성능이 좋으며, 영구적 인 현상이 없습니다.",,1
"내 비디오 및 웹 브라우징 요구를 충족합니다.브라우징 중에 사용하는 메메메모리를 설치하는 것은 쉽었습니다, ",,1
훌륭한 장치. 화면이 화면보다 선명합니다. 성능이 충분합니다. 나중에 비즈니스 사무실을 떠나는 것이 편리합니다. 배터리는 튼튼합니다.,,1
"장비는 매우 좋은 오, 화면이 화면보다 훨씬 선명하고, 성능도 충분합니다. 나중에 비즈니스 사무실 밖에서 매우 편리합니다.",,1
Windows 11과 함께 제공되는 매우 작고 낮은 전력 소비. 16GB RAM은 지연 없이 매우 빠르게 실행되며 BT 5.2/WIFI는 최신이며 잘 실행됩니다. 고화질 모니터와 함께 I9 8950HK Intel CPU를 사용하는 것은 확실히 투자할 가치가 있습니다.,,1
"이 노트북의 인터페이스는 USB 3.0 포트, 미니 HDMI 및 TF 슬롯과 같은 다양한 유용한 포트를 포함하여 다양합니다. 또한 고화질 HDMI 오디오 및 비디오 출력을 지원합니다. 이러한 기능을 통해 다양한 장치와 주변 장치를 연결하기에 다양하고 적합합니다. ",,1
가격은 매우 저렴합니다. 학생으로서 매일 드라마를보기 위해 일하는 법을 배우는 것으로 충분합니다.,,1
"먼저 Office 소프트웨어를 설치해 주신 판매자에게 감사드립니다!! 자주 여행가는 남편을 위해서라서 노트북을 샀어요. 그는 종종 Office와 Photoshop을 사용해야 하며 컴퓨터에 매우 만족합니다. 그리고 무게가 가볍고, 착용도 쉽고,",,1
"제품은 매우 좋고, 성능도 좋고, 외관은 일반적으로 초보자가 시작하기에 적합하며 키보드의 느낌도 좋으며 사무실에 적합합니다.",,1
15.6 인치 디스플레이 스크린은 진정으로 눈을 즐겁게합니다. 고화질과 밝은 색상은 모든 영화 또는 TV 시리즈를 진정한 즐거움으로 만듭니다. ,,1
"나는 절대 내 구매를 후회하지 않으며 심지어 판매자를 추천. 우리가 u를 만난다면. 그것은 유효하고, 친절하고 반응성이 있습니다. 그리고 그의 설명은 잘 설명됩니다",,1
"컴퓨터는 아름다운 외관, 강력한 기능 및 사용 감각이 뛰어납니다. 우대 가격의 노트북은 필요할 때 즉시 구입하십시오.",,1
이벤트를 조직하고 시연을하고 화상 통화를하는 데 사용하는 훌륭한 장치입니다. 일을 담당하는 주된 사람이 아니라 조수입니다. 나는 그것을 추천.,,1
품목은 매우 잘 포장되어 왔고 모든 것이 설명과 같습니다. 정말 멋진 작은 기계이고 품질이 매우 좋으며 매우 빠르게 실행됩니다. Windows 11이 사전 설치되어 있습니다. 확실히 추천할 수 있으며 판매자도 매우 만족하고 만족합니다. 감사합니다 판매자님,,1
"컴팩트하고 아름다운 치수, 자연스럽게 배치되어 공간을 차지하지 않으며 디자인은 기술 감각, 강력한 성능으로 가득 차 있습니다.",,1
"사실, 나는이 노트북의 가격에 따라 제공되는 용량과 성능에 놀랐습니다. 아름답고 슬림 할뿐만 아니라 훌륭한 카메라와 초현실적 인 사운드로 매우 빠릅니다!!! 나는 그것을 추천.",,1
메인프레임은 크기가 컴팩트하고 성능도 나쁘지 않습니다. 일상적인 사용과 가벼운 게임의 요구를 충족시키기 위해 강력한 프로세서와 그래픽 카드 구성을 갖추고 있습니다. ,,1
"냉각 성능이 좋고, 장시간 사용해도 쉽게 과열되지 않습니다.",,1
그것은 기포막으로 잘 포장되어 있다.나는 이미 며칠을 썼다.나에게 깊은 인상을 남긴 것은 그것의 부피가 더 작고 나의 무중력 배낭에 쉽게 넣을 수 있다는 것이다.평일에는 많은 이메일을 처리해야 합니다.이 키보드는 잔잔하고 유창하다.배터리는 6시간 이상 지속될 수 있으며 가열하지 않는다.,,1
"믿음직스럽고, 좋은 컴퓨터는 가격이 좋고, 재질도 좋고, 조작도 순조롭고, 나중에 친구에게 구매를 추천합니다.",,1
사용하기 쉽고 튼튼해 보입니다.그것을 사용한 지 10년이나 8년도 문제없다.나는 네가 그것을 살 것을 건의한다.,,1
"컴퓨터는 이미 받았는데, 새 것은 보기에 매우 예쁘고, 매우 얇으며, 물류 속도가 매우 빠르다.고객 서비스 응답도 빠르다.레이싱은 속도가 아주 좋고 선물이 많으며 컴퓨터가 아주 작고 스크린도 만질수 있어 휴대하기 편리하다.그것은 태블릿PC로 사용할 수 있어서 정말 편리하다!",,1
이 컴퓨터는 작업이 매우 빨라서 현재도 여전히 좋다.,,1
"전체적인 느낌도 좋고, 촉감도 좋고, 화면 비율도 높고, 구성도 좋아 구매할 만하다.",,1
"우리 아버지께 대체품으로 사 드렸는데, 그것은 품질이 아주 좋기 때문에, 나의 ""큰"" 컴퓨터보다 낫다. 운행이 아주 유창하다.pc는 절대적으로 추천합니다.",,1
"커피 한 잔이 낡은 노트북의 키보드에 쏟아진 후에, 나는 어쩔 수 없이 새 것을 한 대 샀다.나는 클릭, 탁탁 소리, 터지는 소리를 많이 들었다. 비록 그것들이 완전히 실패하지는 않았지만, 많은 응용 프로그램이 작동하지 않거나 오류를 만났다.",,1
"거래가 순조롭고 납품이 빠르다.Windows 시스템과 노트북에서 검색하는 모든 기능나는 다른 회사에서 주문했는데, 처음 며칠 동안 컴퓨터가 계속 스스로 재부팅되고 있었다.멋진 경험이 되었으면 좋겠습니다. 멋진 노트북을 사용하고 싶습니다.",,1
13살 난 아들의 낡은 노트북 (내 말은 2019년의 그 노트북) 이 마침내 고장난 후에 나는 어쩔 수 없이 그에게 새 노트북을 사주었다.나는 속매통에서 이것을 찾아서 매우 기쁘다.,,1
나는이 컴퓨터를 좋아한다. 그는 1 주일 동안 Microsoft와 함께 왔는데 더 나아졌습니다.,,1
나는 학생이다. 한동안 나는 내가 이런 물건을 살 수 있도록 돈을 저축해 왔다.그것이 도착했을 때 나는 매우 흥분했다.나는 학교와 게임에서 그것을 사용했고 잘 작동했습니다.,,1
나는 이 컴퓨터의 외관을 좋아한다.그것은 완벽하게 작동하며 아무런 문제나 육중한 소프트웨어도 없다.노트북은 배송 시간이 빠르고 포장도 튼튼합니다.,,1
컴퓨터는 묘사에 따라 전시된 것이다. 나는 반드시 말해야 한다. 현재 나는 매우 만족한다. 나는 그것이 한동안 지속될 수 있기를 바란다,,1
매우 고가의 스마트 노트북은 말할 것도 없다.,,1
빠른 배송으로 포장이 잘 되어 있습니다.절반 이상의 부하를 가지고 있으며 다운로드 된 Wi-Fi에 연결하면 업데이트되어 구성이 매우 쉽고 내비게이션에만 사용되며 매우 빠르게 시작됩니다.당신의 가격에 대해서 말하자면 아주 좋습니다.,,1
"내가 주문한 첫 번째 노트북, 나는 많은 질문을 했고, 상인은 인내심을 가지고 대답하고, 지지한다!",,1
저는 은을 좋아해요.화면이 선명하고 화질이 정말 좋아요.노트북에 적합한 옵션.,,1
나는 18 세의 딸을 위해이 노트북을 구입했습니다. 그녀는 좋아하고 잘 작동합니다. 그녀는 실수로 그것을 깨뜨 렸지만 아무런 피해를 입지 않았습니다. Windows 11은 사용하기가 매우 쉽고 가이드 아래에서 사용할 수 있습니다.,,1
이 노트북은 사용하기 쉽다.초보자 및 기본 기능을 갖춘 사용자를 위한 일상적인 요구 사항 충족,,1
15.6형 디스플레이는 활기차고 원활하게 작동하며 여러 프로그램을 실행해도 정상적으로 작동합니다.1TB SSD는 충분한 저장 공간을 제공하며 Wi-Fi는 안정적이고 빠른 연결을 보장합니다.,,1
가볍고 설치가 쉽습니다. 나는이 경량 노트북을 정말로 좋아한다. 그것은 나의 요구에 아주 잘 맞는다. 이 노트북을 친구와 가족에게 추천 할 것입니다.,,1
나는 그것이 일할 때 페이지 탐색이 뒤처지지 않는 것을 좋아한다.나는 그것이 적어도 3년 동안 정상적으로 사용되기를 바란다.백업용으로 사서 집에서만 사용했어요.그것은 아주 좋은 노트북처럼 보인다.,,1
"전체적인 느낌도 좋고, 촉감도 좋고, 화면 비율도 높고, 구성도 좋아 구매할 만하다.",,1
"아주 작은 공간을 가져 가십시오. 초고속, 매우 우수한 품질 및 매우 빠른 점화 속도 작업 비디오 게임에 이상적입니다. 추천합니다.",,1
나는 아무런 문제가 없었습니다,,1
매우 작아서 내 목적에 매우 적합합니다.,,1
지금까지 48시간밖에 못 가졌어요.나는 그것이 아주 잘 운행되고 있다고 생각한다. 정말 이 가격을 좋아한다.나는 내 아이에게 이 미니 컴퓨터를 사주고 게임기를 한 무더기 사는 것이 아니라 시뮬레이터를 설치할 것이다.,,1
나는 이 컴퓨터를 샀다. 나는 그것을 좋아한다. 그것은 평온하게 작동해서 지금까지 나는 아무런 문제도 겪지 않았다.게임과 일반 소프트웨어를 실행하는 것 외에 나는 컴퓨터에 대해 많이 알지 못한다.사용과 학습이 용이합니다.지금까지 좋은 거래였어!,,1
노트북은 약속을 이행합니다.멀티미디어 및 사무 자동화에 완벽합니다.별로 무겁지 않고 화면이 밝아서 좋아 보여요.유일한 단점은 USB 포트가 2 개밖에 없다는 것이지만 반대로 microsd 카드 리더기가 있습니다.,,1
이런 가치는 보기 드문 것이다.저는 주로 제 컴퓨터로 이메일을 보내고 받거나 인터넷에 접속하거나 PDF를 읽는 등 비고급 사용자입니다. 설정이 매우 간단하고 속도가 매우 빨라 저장 공간이 충분합니다.,,1
이 제품은 운행이 양호하다.다행히도 신체나 내부 손상 없이 무사히 도착했습니다.이것은 그것의 가격에 큰 거래입니다!감사합니다.,,1
제품 설명이 정확하며 배터리 수명은 약 4.5시간입니다. 약간의 업데이트가 필요합니다.판매자의 반응이 매우 빠르다.납품이 빠르다,,1
안타깝게도 터치패드의 마우스 버튼이 사라졌습니다.그렇지 않으면 훌륭한 장치입니다.신속한 배송정말 감사합니다.정말 감사합니다.,,1
이것은 나의 오래된 노트북의 업데이트이다.이것은 내가 스코틀랜드와 아일랜드로 가는 여행에 매우 도움이 된다.무게가 상당히 좋다.매우 얇고 가볍습니다.현재까지 접수된 민원은 없다.여행 중에 사진과 비디오를 저장하기 위해 1TB를 구입했습니다.,,1
나는 어제 방금 이것을 받았다.빠르고 설치 및 사용이 간편합니다.이것은 나의 첫 번째 노트북이다. 지금까지 나는 그것을 정말 좋아했다. 불행히도 나의 HP LaserJet 프린터는 이 컴퓨터의 호환 장치 목록에 없다.현재 새 레이저 프린터를 구입하고 있습니다.,,1
간단히 보여주기 위해 제가 가장 좋아하는 색상입니다. 나는 며칠 동안 그것을 사용하고 있으며 제품은 실제로 제품 설명 페이지와 동일합니다. 매우 사용자 친화적이며 가격은 매우 저렴합니다. 나는 만족,,1
좋아 보이는데!속도가 빨라서 빛과 등갓이 놀라워 보인다.선물 usb 보내기:) 유일한 단점은 예상보다 조금 더 오래 걸린다는 것입니다.,,1
"납품이 빠르다, 열흘.아주 작고, 밝고, 이런 프로세서.포장이 완벽하고 설치가 매우 편리하여 판매자를 추천합니다.",,1
노트북은 사용이 매우 편리하고 전송 속도가 매우 빨라 몇 초면 활성화할 수 있으며 일상적인 사무실에서 연극을 쫓는 것만으로도 충분하다.,,1
예상에 부합하다.사무 자동화를 위한 탁월한 기능,,1
"""나는 이 노트북을 샀는데, 그것은 정말 훌륭하다!""날씬하고 보기 좋고 효과도 좋아요.i7 프로세서와 16GB RAM은 일상적인 작업에 적합하며 SSD는 빠른 속도를 제공합니다.화면이 선명하고 빠른 충전이 매우 편리하다.그리고 이 가격은 매우 수지가 맞는다!",,1
나는 처음에는 약간 긴장했다. 나는 기술이고 집에 큰 작업 공간이 없기 때문에 정말 작은 것을 원했습니다. Windows 11의 열렬한 팬은 아니지만 고객 업데이트로 익숙해 져야했습니다.,,1
노트북은 아주 좋으며 제시간에 문제가 없으며 작업이 평온하고 능률적이며 포장이 량호하여 틀림없이 전지의 항속시간이 아주 길고 스크린이 아주 좋으며 키보드의 버튼이 아주 류창하여 가격이 격파할수 없다고 추천할것이다.,,1
배터리 수명이 오래된 브랜드보다 훨씬 낫습니다! 완벽한 크기!,,1
나는 나의 새 노트북을 정말 좋아한다!15.6형 화면은 내가 작업하든 탐색하든 모든 것을 쉽게 볼 수 있도록 완벽합니다.키보드 레이아웃이 매우 편안하고 배터리 수명도 상당히 안정적입니다.,,1
설정은 간단합니다. 저는 정말 은색을 좋아합니다.,,1
"모든 것이 완벽하다.그것은 이미 지정된 시간 내에 받았는데, 컴퓨터는 내가 예상한 것보다 좋고, 정상적으로 작동하며, 개인이 사용할 때 매우 조용하다.",,1
"나는 그것을 정말 좋아한다. 그것을 연 이후로, 그것은 줄곧 잘 작동하고 있다. ",,1
그것은 여전히 ​​나에게 조금 새로운 것이므로 물건을 알아 내십시오. ,,1
이 미니 컴퓨터는 보기에 괜찮다.기능이 모두 좋습니다.,,1
현재 모든 것이 정상적이고 빠르며 가볍고 배터리 수명도 충분하다.나는 그것으로 공부한다. 그것은 이것에 매우 적합하다. 물론 내가 모르는 다른 공공 사업에도 적용된다. ,,1
마더보드의 비디오 인터페이스가 고장 나서 결국 구형 타워를 교체해야 했습니다.나는 미니 컴퓨터 노선을 선택했다. 나는 내가 해냈다는 것을 매우 기쁘게 생각한다.,,1
"이렇게 작은 기계에 있어서 매우 강력하다.일도 잘하고 치밀해요.나는 그것을 매우 좋아한다!나는 주로 그것을 나의 음악 소프트웨어에 사용하는데, 그것은 평온하게 작동하고 사용하기 쉽다.",,1
이것은 종종 기대 이상의 성능을 제공하는 강력한 초소형 PC입니다.,,1
"나는 이것을 증강시킬 수 있는 어떤 것도 찾을 수 없다.그것은 너무 훌륭해서 그것을 구매하는 원인에 완전히 부합된다.사용이 간편하고 가볍습니다.어제 Word, 전자 메일 및 원격 인쇄를 사용할 수 있도록 설정했습니다.지난 몇 년 동안 새로운 노트북을 설치하는 것보다 훨씬 쉽습니다!",,1
가벼운 기본 노트북이 필요하다면이 14인치 노트북은 좋은 선택이다.특히 16GB의 RAM과 1TB의 스토리지 공간이 필요합니다.그러나 집약적인 작업을 수행하기 위해 더 큰 전력이 필요하다면 더 강력한 기계를 고려해야 할 수도 있습니다.,,1
이 컴퓨터는 개인이 사용하기에 아주 적합하다.,,1
태블릿과 모니터를 TV 모니터에 연결할 수 있는 윈도11다른 항목에 연결된 경우 직접 항목을 추가하고 조합할 수 있습니다.이 제품은 나의 많은 요구를 만족시킬 수 있다.나는 표현을 유지하기 위해 어떤 게임도 하지 않았다.,,1
