translated_sentences,natural_sentences,labels
추가 부가가치세 나 의무를 지불하지 않았습니다. 프로세서는 원활하게 작동합니다.,,1
"모든 것이 괜찮습니다. 프로세서 잘 포장, 그것은 아마 원래 제대로 작동합니다. 나는 추천",,1
정확히 설명 된대로였습니다. 배송은 평소보다 빨랐습니다. 벤치 마크는 훌륭했습니다!!!,,1
정품 제품. 이 CPU를 변경할 때 문제가 없습니다.,,1
중국에서 SEA까지 2 주 이내에 주문을 받았습니다. CPU를 테스트했습니다.,,1
Ryzen 5 5700X3D 는 완벽한 상태로 도착하여 완벽하게 설치되고 작동합니다.,,1
원본. 필요한만큼 작동합니다. 나는 642zl 을 지불했다. 나는 추천,,1
완벽한. 좋은 가격. 구매에 매우 만족합니다!!!,,1
아주 좋은 프로세서. 현재 AM4 에서 최고입니다. 빠른 배송. 폴란드에 14 일.,,1
미래에이 판매자로부터 다시 구입하십시오.,,1
"작동합니다!!! 믿을 수 없었습니다! Pbo2 튜너-25 낮은 온도, 포트 효율 및 더 많은 FPS!! 삶을위한 AM4!!",,1
"설명 된대로 신속하고 정확하게 수신, 훌륭한 판매자!",,1
추정 된 기간 내에 받아 들여지고 완벽한 상태의 아이템과 설명에 맞게 조정됩니다. 추천 100%,,1
,"빠르게 배송되었습니다. (주말 주문, 화요일 도착) 인식 및 작동 잘되네요",0
,아직 나머지 부품을 구매하지 못해 실제 사용을 못해 봤으나 주문 후 이틀만에 수령해서 배송도 빨라 만족합니다.,0
,빠른배송 명함과함께 안전포장되어 도착함,0
,빠른배송 감사합니다 슈퍼컴퓨터 가즈아아아아,0
,"문제 없고, 잘 작동하네요! 거기에 무상 교환 2년이니 좀 마음이 놓이네요!! 잘 사용 하겠슴다!",0
,굿,0
,잘됨.,0
,문제없이 매우 잘되는듯,0
,박스셋 잘 받았습니다. 작동은 아직 안해봄,0
,좀더 저렴한 7500f사려다가 아무래도 혹시몰라서 내장글카 있는걸로 구매했습니다. 이것도 충분히 저렴하다고 봐서 3만원 차이는 아깝지 않네요. 정품 박ㅁ스,0
,잘받았고 포장도 잘되서 왔습니다. 설치 후 문제가 없으며 다른 빌드가 있는 경우를 대비해 이 판매자로부터 반드시 구매할 것입니다.,0
,빠른 배송에 좋은 제품 저렴히 감사합니다,0
,송은 무천 빠르고 박스에 포장되어옵니다. 우리나라 컴터 부품값은 정말 미친거같아요. 알리가 너무 저렴해서 고만할 필요도 없네요.,0
,배송빠릅니다. 물건도 정확하고요. 거의 1주일 많에 받았네요,0
,알리익스프레스 좋아요 ㅎㅎㅎㅎ 알리익스프레스 좋아요 ㅎㅎㅎㅎ,0
,이렇게빨리오는거 처음이네요. 최고입니다,0
,알리에서 파는 다른 키캡보다는 가격이 있지만 포장이나 퀄리티는 제일 좋네요 이쁘고 좋아요,0
,이상없이 빠르게 잘왔어요 한글각인 좋아요 영어는 측면 각인이네요,0
,배송은 일주일걸린거 같네요 가격이 저렴해서 샀는데 함 써봐야겠네요,0
,"정품이 너무 비싸 사지못한 내 자신을 한탄하며, 짭으로 구매했습니다.",0
,배송 빠르고 상품 문제 없이 잘 도착했습니다. 작동 잘 되고 듀얼 모니터도 잘 되네요. 풀로드시 팬 소음은 있어요.,0
,너무잘되요 동봉도니 hdmi는 가끔 인식오류떠서 다른거 쓰니 잘되요,0
,괜찬은 재품입니다. 좋아요,0
,괜찬은 재품입니다. 좋아요,0
,오늘 작동 시켜봤는데 잘되네요 오래썻으면 합니다,0
,일단 배송과 가성비 평가는 만족 사용 후 사용기 남길게요,0
,배송이 느려 느긋하게 기다릴수만 있다면 이보다 더 좋은 선택은 없을거 같네요. 최고의 가성비 인정입니다.,0
,상품박스 훼손도없고 잘 돌아가는듯 하네요 따로 속도테스트는 아직 안해봐서 그건 모르겠네요,0
,지난번에도 구매해서 잘 됐어요! 잘 되는것 같아요 ^^ 지난번에도 구매해서 잘 됐어요!,0
,"좋은 제품 입니다,.......",0
,설치시 컴터에선 마이크론으로 잡히고 잘 돌아감. 믿고 쓰는 킹뱅크임.,0
,배송이 좀 걸렸지만 제품 깔끔하게 잘 배송되었습니다 이제 마이크론칩으로 오나보네요,0
,국제등기로 와서 17일 정도 걸렸네요. 제품은 정상적이고 방열판은 없습니다.,0
,컴퓨터에 무사히 조립~~~,0
,드디어 받았습니다. 조립은 아직 나머지 부품 구한후 할 예정입니다.,0
,가성비 굿,0
,가성비 좋음,0
,사용해봐야 알겠지만 배드섹터만 없었으면 합니다 모두 건강하세요,0
,택배로 발송된 것이 아니고 우편으로 우편함에 들어있었습니다. 아직 사용 전입니다,0
,속도 아주 좋습니다. 윈도우 드라이버 미설치 상태로 테스트했어요. 하이닉스칩에 하이닉스 컨트롤러. 훌륭합니다.,0
,저렴하게 하이닉스 oem을 사서 잘쓰고 있어요~~ ssd 아무이상 없이 잘되용,0
,어제 구매하고 오늘 제품 받았습니다. 현재 구할수있는 가장 저렴한 방법인듯 합니다.,0
,23일 저녁에 구매해서 설 지나고 올줄 알았는데 25토요일에 배송이 왔습니다 엄청 빠르네요 ee,0
,빠른 배송 감사합니다.~~~!!,0
,좋아요. 빨리 왔네요.,0
,빠르게 잘 왔습니다~,0
,빠르게 잘왔습니더,0
,23일 저녁에 구매해서 설 지나고 올줄 알았는데 25토요일에 배송이 왔습니다 엄청 빠르네요 ee,0
,잘 받았습니다. 보드 주문하고 장착할 것 같네용,0
,빠른배송 만족했네요ㅎㅎ 박스가 많이 찌그러져와서 걱정했지만 다행이 안에 cpu박스만 찌그러져있네요 사용전이지만 저렴한 가격에 구입했네요ㅎㅎ,0
,성능이 살아 있음. 배송도 살아 있음,0
,쿠폰으로 그나마 싸게 구했네요. 배송도 바로 보내주셨어요. 지상최강의 게이밍 cpu 983d!!,0
,램이나 그래픽카드 교체 말고 완전 조립은 처음인데 잘 돌아가네요 성능 좋습니다,0
,배송 잘 받았습니다. 가격 변동이 빠르네요.,0
,5600x >>>>> 573d 업글 배그하시는분들 무조건 업글 ㄱㄱ헛,0
,잘 받았고 정상작동하고 성능 좋습니다 그런데 일반 우편으로 와서 아파트 현관 우편함에서 찾은 건 좀 당황스럽네요. 한국 배송은 택배로 진행 하는게 좋을 것 같습니다,0
,아직 딥하게 사용해보진 못했지만 일단 인식은 잘됨.,0
,11월 14일 주문하여 12월 4일에 받았습니다. 핀 멀쩡하고 작동 잘 됩니다.,0
,좋은 굿굿굿 굿,0
,배송이 최대기간 하루 전날에 옴 싱가폴 거쳐서 오는데 정신 나가는줄,0
,이상 없이 작동 잘 합니다. 다만 배송은 좀 느리네요.,0
,가성비 좋게 샀네요. 개꿀딱입니다,0
,배송은 10일 정도 기다린 듯 상태 굿 인식도 잘함 포장에서 냄새는 나지만 거슬리진 않음.,0
,쿨러가 없어서 아직 사용전이지만 문제 없을거라고 믿음,0
,잘 작동하네요 좋아요 잘쓸게요,0
,핀도 안 휘고 잘왔어요 14.6에 구매,0
,배송은 일주일걸린거 같네요 가격이 저렴해서 샀는데 함 써봐야겠네요,0
,예쁩니다,0
,깔끔하게 잘 만들어졌네요. 이쁨,0
,내가 알리에서 구매한 No.1 상품. 퀄리티 좋음.,0
,원래 잘 벗겨지는진 모르겠으나 이정도면 싼게 비지떡 최고,0
,배송이 빠르고 제품도 이뻐요,0
,퀄이생각보다 뛰어납니다. 좋네요^^,0
,매우 만족스럽습니다 예뻐요 잘 쓰겠습니다.,0
,청축이라 원래 소리가 청량 한다 약간 둔탁해 지는 효과가 있네요. 소음 김소 효과가 있습니다.,0
,싸게 구입했어요. 맘에 듭니다.,0
,네이버에서 파는거 진짜 비싼데 이거 반값도 안된 가격에 샀음. 개꿀이고 퀄도 좋음,0
,생각보다 퀄리티가 좋음. 나무 표현한 키캡 음각? 아래 각인 박은게 잘 안보이긴 한데 나쁘지 않은 정도 추천하냐? 추천함,0
,대만족 퀄 좋네요. 대박,0
,좋습니다 좋습니다 좋습니다 좋습니다 좋습니다 좋습니다 좋습니다 좋습니다 좋습니다 좋습니다 좋습니다 좋습니다 좋습니다 좋습니다 좋습니다 좋습니다 좋습니다,0
,제품 대만족입니다. 디자인 너무 이뻐요,0
,실물은 좀 더 쨍해보이는데 물건은 같아요.,0
,폰트가 아쉽기는 하지만 마감이나 만듦새가 좋습니다. 윈키가 1개인건 아쉽네요. 서비스키가 많은데 그거보다 윈도우가 2개여야 할 것 같네요.,0
,하루 늦엇는데 바로 쿠폰 주네요 6일 걸렷고요 재품은 좋습니다 led 가 약해서 밋에 영문 과 기능 키들이 잘 안보이는데 상테 좋네요,0
,"사실 크게 기대하진 않았는데, 받아보니 퀄리티가 생각보다 나쁘지 않습니다 ㅎ.",0
,배송 빠르고 좋아요 생각보다 품질이 좋아요,0
,깔끔하고 마감이 상당히 좋네요,0
,배송도 빠른 편이었고 키캡이 예뻐서 만족해요,0
,너무 이쁜데요? 잘쓰겠습니다 ·그런데 이거 정품 맞나요?,0
,한국에서 너무 비싸 가지고 여기서 샀는데 너무 잘 산 것 같아요. 싸게 기분 좋네요.,0
,생각보다 퀄 좋음.,0
,풀배열 좋아요 살짝 매끄러운데 마찰력 있는 표면,0
,검정키보드에 주황색 백라이트 켜면 개이쁩니다. 검정키보드에 주황색 백라이트 켜면 개이쁩니다.,0
,색감이 예쁘고 좋네요! @@ 아직 키보드 사용은 안해봣는데 좋을듯합니다,0
,너무 이뻐요! 잘 도착했고 키캡 적용했을때 간섭도없어요 ㅎㅎ 독거미99 입니당,0
,퀄리티도 괜찮고 키캡도 다 왔고 이상도 없네요 얼른 키캡 씌워서 사용하고 싶어지네요 글씨 안쇄 상태도 괜찮아요,0
,단청무늬도 이쁘게 잘 들어있고요 가격적인 면이 뛰어난 제품이랍니다. 추천,0
,완전만족스럽습니다 아콘키보드랑 찰떡이에요,0
,오리지널은 가격이 너무 비싸서 샀는데 생각보다 퀄리티가 나쁘지는 않네요,0
,생가보다 나쁘지 않습니다. 가격대비 괜찮네요.,0
