translated_sentences,natural_sentences,labels
,저렴하게 하이닉스 oem을 사서 잘쓰고 있어요~~ ssd 아무이상 없이 잘되용,0
,어제 구매하고 오늘 제품 받았습니다. 현재 구할수있는 가장 저렴한 방법인듯 합니다.,0
,23일 저녁에 구매해서 설 지나고 올줄 알았는데 25토요일에 배송이 왔습니다 엄청 빠르네요 ee,0
,빠른 배송 감사합니다.~~~!!,0
,좋아요. 빨리 왔네요.,0
,빠르게 잘 왔습니다~,0
,빠르게 잘왔습니더,0
,23일 저녁에 구매해서 설 지나고 올줄 알았는데 25토요일에 배송이 왔습니다 엄청 빠르네요 ee,0
,잘 받았습니다. 보드 주문하고 장착할 것 같네용,0
,빠른배송 만족했네요ㅎㅎ 박스가 많이 찌그러져와서 걱정했지만 다행이 안에 cpu박스만 찌그러져있네요 사용전이지만 저렴한 가격에 구입했네요ㅎㅎ,0
